group,variable,value,,,
Fayette,10/13,9,,,
Fayette,10/14,11,,,
Fayette,10/15,8,,,
Fayette,10/16,8,,,
Fayette,10/17,5,,,
Fayette,10/18,3,,,
Fayette,10/19,2,,,
Fayette,10/20,9,,,
Fayette,10/21,5,,,
Fayette,10/22,4,,,
Fayette,10/23,8,,,
Fayette,10/24,4,,,
Fayette,10/25,7,,,
Fayette,10/26,7,,,
Fayette,10/27,10,,,
Fayette,10/28,9,,,
Fayette,10/29,9,,,
Fayette,10/30,12,,,
Fayette,10/31,12,,,
Fayette,11/1,9,,,
Fayette,11/2,18,,,
Fayette,11/3,21,,,
Fayette,11/4,13,,,
Fayette,11/5,16,,,
Fayette,11/6,37,,,
Fayette,11/7,14,,,
Fayette,11/8,10,,,
Fayette,11/9,36,,,
Fayette,11/10,44,,,
Fayette,11/11,19,,,
Fayette,11/12,35,,,
Fayette,11/13,22,,,
Fayette,11/14,14,,,
Fayette,11/15,17,,,
Fayette,11/16,24,,,
Fayette,11/17,18,,,
Fayette,11/18,14,,,
Fayette,11/19,17,,,
Fayette,11/20,24,,,
Fayette,11/21,11,,,
Fayette,11/22,16,,,
Fayette,11/23,10,,,
Fayette,11/24,13,,,
Fayette,11/25,17,,,
Fayette,11/26,9,,,
Fayette,11/27,19,,,
Fayette,11/28,12,,,
Fayette,11/29,21,,,
Fayette,11/30,36,,,
Fayette,12/1,33,,,
Fayette,12/2,28,,,
Fayette,12/3,27,,,
Fayette,12/4,35,,,
Fayette,12/5,23,,,
Fayette,12/6,31,,,
Fayette,12/7,30,,,
Fayette,12/8,30,,,
Fayette,12/9,35,,,
Fayette,12/10,37,,,
Fayette,12/11,18,,,
Fayette,12/12,24,,,
Fayette,12/13,15,,,
Fayette,12/14,25,,,
Fayette,12/15,21,,,
Fayette,12/16,13,,,
Fayette,12/17,23,,,
Fayette,12/18,29,,,
Fayette,12/19,16,,,
Fayette,12/20,20,,,
Fayette,12/21,33,,,
Fayette,12/22,18,,,
Fayette,12/23,31,,,
Fayette,12/24,19,,,
Fayette,12/25,14,,,
Fayette,12/26,19,,,
Fayette,12/27,33,,,
Fayette,12/28,20,,,
Fayette,12/29,33,,,
Fayette,12/30,26,,,
Fayette,12/31,30,,,
Fayette,1/1,16,,,
Fayette,1/2,25,,,
Fayette,1/3,20,,,
Fayette,1/4,39,,,
Fayette,1/5,33,,,
Fayette,1/6,17,,,
Fayette,1/7,25,,,
Fayette,1/8,23,,,
Fayette,1/9,11,,,
Fayette,1/10,17,,,
Fayette,1/11,26,,,
Fayette,1/12,27,,,
Fayette,1/13,11,,,
Fayette,1/14,24,,,
Fayette,1/15,22,,,
Fayette,1/16,8,,,
Fayette,1/17,4,,,
Fayette,1/18,,,,
Franklin,8/1,165,,,
Franklin,8/2,119,,,
Franklin,8/3,194,,,
Franklin,8/4,150,,,
Franklin,8/5,173,,,
Franklin,8/6,159,,,
Franklin,8/7,158,,,
Franklin,8/8,105,,,
Franklin,8/9,125,,,
Franklin,8/10,220,,,
Franklin,8/11,162,,,
Franklin,8/12,165,,,
Franklin,8/13,117,,,
Franklin,8/14,141,,,
Franklin,8/15,115,,,
Franklin,8/16,117,,,
Franklin,8/17,149,,,
Franklin,8/18,156,,,
Franklin,8/19,160,,,
Franklin,8/20,133,,,
Franklin,8/21,129,,,
Franklin,8/22,116,,,
Franklin,8/23,109,,,
Franklin,8/24,234,,,
Franklin,8/25,206,,,
Franklin,8/26,211,,,
Franklin,8/27,206,,,
Franklin,8/28,174,,,
Franklin,8/29,148,,,
Franklin,8/30,184,,,
Franklin,8/31,347,,,
Franklin,9/1,359,,,
Franklin,9/2,281,,,
Franklin,9/3,225,,,
Franklin,9/4,228,,,
Franklin,9/5,139,,,
Franklin,9/6,126,,,
Franklin,9/7,178,,,
Franklin,9/8,273,,,
Franklin,9/9,251,,,
Franklin,9/10,196,,,
Franklin,9/11,167,,,
Franklin,9/12,139,,,
Franklin,9/13,92,,,
Franklin,9/14,238,,,
Franklin,9/15,170,,,
Franklin,9/16,154,,,
Franklin,9/17,116,,,
Franklin,9/18,127,,,
Franklin,9/19,88,,,
Franklin,9/20,133,,,
Franklin,9/21,165,,,
Franklin,9/22,162,,,
Franklin,9/23,153,,,
Franklin,9/24,122,,,
Franklin,9/25,137,,,
Franklin,9/26,114,,,
Franklin,9/27,111,,,
Franklin,9/28,160,,,
Franklin,9/29,168,,,
Franklin,9/30,176,,,
Franklin,10/1,143,,,
Franklin,10/2,134,,,
Franklin,10/3,152,,,
Franklin,10/4,142,,,
Franklin,10/5,212,,,
Franklin,10/6,217,,,
Franklin,10/7,207,,,
Franklin,10/8,184,,,
Franklin,10/9,172,,,
Franklin,10/10,166,,,
Franklin,10/11,167,,,
Franklin,10/12,244,,,
Franklin,10/13,267,,,
Franklin,10/14,239,,,
Franklin,10/15,197,,,
Franklin,10/16,226,,,
Franklin,10/17,217,,,
Franklin,10/18,187,,,
Franklin,10/19,323,,,
Franklin,10/20,306,,,
Franklin,10/21,269,,,
Franklin,10/22,272,,,
Franklin,10/23,320,,,
Franklin,10/24,263,,,
Franklin,10/25,280,,,
Franklin,10/26,461,,,
Franklin,10/27,397,,,
Franklin,10/28,438,,,
Franklin,10/29,468,,,
Franklin,10/30,446,,,
Franklin,10/31,380,,,
Franklin,11/1,413,,,
Franklin,11/2,693,,,
Franklin,11/3,668,,,
Franklin,11/4,754,,,
Franklin,11/5,735,,,
Franklin,11/6,686,,,
Franklin,11/7,515,,,
Franklin,11/8,546,,,
Franklin,11/9,1013,,,
Franklin,11/10,926,,,
Franklin,11/11,900,,,
Franklin,11/12,955,,,
Franklin,11/13,943,,,
Franklin,11/14,667,,,
Franklin,11/15,516,,,
Franklin,11/16,1044,,,
Franklin,11/17,986,,,
Franklin,11/18,1057,,,
Franklin,11/19,987,,,
Franklin,11/20,992,,,
Franklin,11/21,686,,,
Franklin,11/22,609,,,
Franklin,11/23,1212,,,
Franklin,11/24,1080,,,
Franklin,11/25,1070,,,
Franklin,11/26,371,,,
Franklin,11/27,988,,,
Franklin,11/28,756,,,
Franklin,11/29,727,,,
Franklin,11/30,1180,,,
Franklin,12/1,1208,,,
Franklin,12/2,1060,,,
Franklin,12/3,1024,,,
Franklin,12/4,1020,,,
Franklin,12/5,687,,,
Franklin,12/6,589,,,
Franklin,12/7,1076,,,
Franklin,12/8,1030,,,
Franklin,12/9,947,,,
Franklin,12/10,879,,,
Franklin,12/11,845,,,
Franklin,12/12,653,,,
Franklin,12/13,581,,,
Franklin,12/14,1083,,,
Franklin,12/15,852,,,
Franklin,12/16,833,,,
Franklin,12/17,809,,,
Franklin,12/18,807,,,
Franklin,12/19,578,,,
Franklin,12/20,559,,,
Franklin,12/21,935,,,
Franklin,12/22,892,,,
Franklin,12/23,818,,,
Franklin,12/24,681,,,
Franklin,12/25,278,,,
Franklin,12/26,694,,,
Franklin,12/27,633,,,
Franklin,12/28,1153,,,
Franklin,12/29,948,,,
Franklin,12/30,977,,,
Franklin,12/31,751,,,
Franklin,1/1,396,,,
Franklin,1/2,743,,,
Franklin,1/3,626,,,
Franklin,1/4,1189,,,
Franklin,1/5,924,,,
Franklin,1/6,920,,,
Franklin,1/7,683,,,
Franklin,1/8,762,,,
Franklin,1/9,492,,,
Franklin,1/10,425,,,
Franklin,1/11,789,,,
Franklin,1/12,648,,,
Franklin,1/13,577,,,
Franklin,1/14,593,,,
Franklin,1/15,482,,,
Franklin,1/16,252,,,
Franklin,1/17,205,,,
Franklin,1/18,2,,,
Fulton,8/1,1,,,
Fulton,8/2,2,,,
Fulton,8/3,2,,,
Fulton,8/4,3,,,
Fulton,8/5,4,,,
Fulton,8/6,2,,,
Fulton,8/7,1,,,
Fulton,8/8,1,,,
Fulton,8/9,3,,,
Fulton,8/10,2,,,
Fulton,8/11,3,,,
Fulton,8/12,,,,
Fulton,8/13,,,,
Fulton,8/14,2,,,
Fulton,8/15,1,,,
Fulton,8/16,2,,,
Fulton,8/17,1,,,
Fulton,8/18,2,,,
Fulton,8/19,3,,,
Fulton,8/20,,,,
Fulton,8/21,1,,,
Fulton,8/22,2,,,
Fulton,8/23,3,,,
Fulton,8/24,1,,,
Fulton,8/25,2,,,
Fulton,8/26,1,,,
Fulton,8/27,1,,,
Fulton,8/28,,,,
Fulton,8/29,1,,,
Fulton,8/30,8,,,
Fulton,8/31,3,,,
Fulton,9/1,1,,,
Fulton,9/2,2,,,
Fulton,9/3,3,,,
Fulton,9/4,4,,,
Fulton,9/5,,,,
Fulton,9/6,1,,,
Fulton,9/7,3,,,
Fulton,9/8,5,,,
Fulton,9/9,1,,,
Fulton,9/10,3,,,
Fulton,9/11,2,,,
Fulton,9/12,3,,,
Fulton,9/13,,,,
Fulton,9/14,4,,,
Fulton,9/15,1,,,
Fulton,9/16,3,,,
Fulton,9/17,2,,,
Fulton,9/18,4,,,
Fulton,9/19,,,,
Fulton,9/20,2,,,
Fulton,9/21,1,,,
Fulton,9/22,4,,,
Fulton,9/23,8,,,
Fulton,9/24,47,,,
Fulton,9/25,3,,,
Fulton,9/26,6,,,
Fulton,9/27,5,,,
Fulton,9/28,10,,,
Fulton,9/29,24,,,
Fulton,9/30,13,,,
Fulton,10/1,5,,,
Fulton,10/2,3,,,
Fulton,10/3,4,,,
Fulton,10/4,9,,,
Fulton,10/5,7,,,
Fulton,10/6,18,,,
Fulton,10/7,7,,,
Fulton,10/8,9,,,
Fulton,10/9,13,,,
Fulton,10/10,8,,,
Fulton,10/11,4,,,
Fulton,10/12,23,,,
Fulton,10/13,14,,,
Fulton,10/14,9,,,
Fulton,10/15,18,,,
Fulton,10/16,1,,,
Fulton,10/17,10,,,
Fulton,10/18,14,,,
Fulton,10/19,10,,,
Fulton,10/20,14,,,
Fulton,10/21,5,,,
Fulton,10/22,14,,,
Fulton,10/23,21,,,
Fulton,10/24,8,,,
Fulton,10/25,10,,,
Fulton,10/26,23,,,
Fulton,10/27,15,,,
Fulton,10/28,19,,,
Fulton,10/29,14,,,
Fulton,10/30,20,,,
Fulton,10/31,23,,,
Fulton,11/1,12,,,
Fulton,11/2,34,,,
Fulton,11/3,22,,,
Fulton,11/4,29,,,
Fulton,11/5,20,,,
Fulton,11/6,33,,,
Fulton,11/7,30,,,
Fulton,11/8,30,,,
Fulton,11/9,38,,,
Fulton,11/10,32,,,
Fulton,11/11,42,,,
Fulton,11/12,29,,,
Fulton,11/13,38,,,
Fulton,11/14,20,,,
Fulton,11/15,24,,,
Fulton,11/16,39,,,
Fulton,11/17,41,,,
Fulton,11/18,35,,,
Fulton,11/19,31,,,
Fulton,11/20,44,,,
Fulton,11/21,34,,,
Fulton,11/22,28,,,
Fulton,11/23,41,,,
Fulton,11/24,36,,,
Fulton,11/25,35,,,
Fulton,11/26,36,,,
Fulton,11/27,41,,,
Fulton,11/28,36,,,
Fulton,11/29,33,,,
Fulton,11/30,60,,,
Fulton,12/1,50,,,
Fulton,12/2,50,,,
Fulton,12/3,42,,,
Fulton,12/4,50,,,
Fulton,12/5,30,,,
Fulton,12/6,38,,,
Fulton,12/7,54,,,
Fulton,12/8,50,,,
Fulton,12/9,50,,,
Fulton,12/10,33,,,
Fulton,12/11,43,,,
Fulton,12/12,42,,,
Fulton,12/13,43,,,
Fulton,12/14,42,,,
Fulton,12/15,42,,,
Fulton,12/16,44,,,
Fulton,12/17,28,,,
Fulton,12/18,50,,,
Fulton,12/19,35,,,
Fulton,12/20,33,,,
Fulton,12/21,39,,,
Fulton,12/22,24,,,
Fulton,12/23,25,,,
Fulton,12/24,42,,,
Fulton,12/25,18,,,
Fulton,12/26,36,,,
Fulton,12/27,31,,,
Fulton,12/28,39,,,
Fulton,12/29,28,,,
Fulton,12/30,25,,,
Fulton,12/31,20,,,
Fulton,1/1,25,,,
Fulton,1/2,32,,,
Fulton,1/3,27,,,
Fulton,1/4,29,,,
Fulton,1/5,29,,,
Fulton,1/6,28,,,
Fulton,1/7,34,,,
Fulton,1/8,20,,,
Fulton,1/9,29,,,
Fulton,1/10,18,,,
Fulton,1/11,27,,,
Fulton,1/12,14,,,
Fulton,1/13,17,,,
Fulton,1/14,5,,,
Fulton,1/15,13,,,
Fulton,1/16,2,,,
Fulton,1/17,2,,,
Fulton,1/18,1,,,
Gallia,8/1,,,,
Gallia,8/2,2,,,
Gallia,8/3,1,,,
Gallia,8/4,,,,
Gallia,8/5,3,,,
Gallia,8/6,3,,,
Gallia,8/7,3,,,
Gallia,8/8,5,,,
Gallia,8/9,3,,,
Gallia,8/10,,,,
Gallia,8/11,2,,,
Gallia,8/12,3,,,
Gallia,8/13,12,,,
Gallia,8/14,3,,,
Gallia,8/15,4,,,
Gallia,8/16,1,,,
Gallia,8/17,,,,
Gallia,8/18,4,,,
Gallia,8/19,5,,,
Gallia,8/20,6,,,
Gallia,8/21,8,,,
Gallia,8/22,3,,,
Gallia,8/23,2,,,
Gallia,8/24,,,,
Gallia,8/25,4,,,
Gallia,8/26,2,,,
Gallia,8/27,5,,,
Gallia,8/28,2,,,
Gallia,8/29,2,,,
Gallia,8/30,1,,,
Gallia,8/31,2,,,
Gallia,9/1,,,,
Gallia,9/2,,,,
Gallia,9/3,3,,,
Gallia,9/4,3,,,
Gallia,9/5,1,,,
Gallia,9/6,3,,,
Gallia,9/7,4,,,
Gallia,9/8,1,,,
Gallia,9/9,1,,,
Gallia,9/10,2,,,
Gallia,9/11,2,,,
Gallia,9/12,,,,
Gallia,9/13,1,,,
Gallia,9/14,1,,,
Gallia,9/15,3,,,
Gallia,9/16,1,,,
Gallia,9/17,2,,,
Gallia,9/18,1,,,
Gallia,9/19,2,,,
Gallia,9/20,4,,,
Gallia,9/21,1,,,
Gallia,9/22,1,,,
Gallia,9/23,2,,,
Gallia,9/24,5,,,
Gallia,9/25,3,,,
Gallia,9/26,9,,,
Gallia,9/27,3,,,
Gallia,9/28,3,,,
Gallia,9/29,4,,,
Gallia,9/30,3,,,
Gallia,10/1,2,,,
Gallia,10/2,5,,,
Gallia,10/3,3,,,
Gallia,10/4,2,,,
Gallia,10/5,6,,,
Gallia,10/6,2,,,
Gallia,10/7,3,,,
Gallia,10/8,2,,,
Gallia,10/9,4,,,
Gallia,10/10,2,,,
Gallia,10/11,5,,,
Gallia,10/12,4,,,
Gallia,10/13,6,,,
Gallia,10/14,5,,,
Gallia,10/15,2,,,
Gallia,10/16,2,,,
Gallia,10/17,,,,
Gallia,10/18,6,,,
Gallia,10/19,2,,,
Gallia,10/20,11,,,
Gallia,10/21,8,,,
Gallia,10/22,5,,,
Gallia,10/23,4,,,
Gallia,10/24,3,,,
Gallia,10/25,2,,,
Gallia,10/26,3,,,
Gallia,10/27,7,,,
Gallia,10/28,3,,,
Gallia,10/29,6,,,
Gallia,10/30,4,,,
Gallia,10/31,8,,,
Gallia,11/1,17,,,
Gallia,11/2,15,,,
Gallia,11/3,14,,,
Gallia,11/4,11,,,
Gallia,11/5,13,,,
Gallia,11/6,24,,,
Gallia,11/7,7,,,
Gallia,11/8,16,,,
Gallia,11/9,15,,,
Gallia,11/10,17,,,
Gallia,11/11,25,,,
Gallia,11/12,26,,,
Gallia,11/13,21,,,
Gallia,11/14,25,,,
Gallia,11/15,22,,,
Gallia,11/16,21,,,
Gallia,11/17,25,,,
Gallia,11/18,24,,,
Gallia,11/19,26,,,
Gallia,11/20,32,,,
Gallia,11/21,25,,,
Gallia,11/22,16,,,
Gallia,11/23,24,,,
Gallia,11/24,28,,,
Gallia,11/25,20,,,
Gallia,11/26,18,,,
Gallia,11/27,20,,,
Gallia,11/28,16,,,
Gallia,11/29,30,,,
Gallia,11/30,33,,,
Gallia,12/1,41,,,
Gallia,12/2,34,,,
Gallia,12/3,29,,,
Gallia,12/4,27,,,
Gallia,12/5,22,,,
Gallia,12/6,17,,,
Gallia,12/7,45,,,
Gallia,12/8,29,,,
Gallia,12/9,37,,,
Gallia,12/10,30,,,
Gallia,12/11,31,,,
Gallia,12/12,28,,,
Gallia,12/13,26,,,
Gallia,12/14,28,,,
Gallia,12/15,28,,,
Gallia,12/16,23,,,
Gallia,12/17,13,,,
Gallia,12/18,11,,,
Gallia,12/19,20,,,
Gallia,12/20,16,,,
Gallia,12/21,20,,,
Gallia,12/22,14,,,
Gallia,12/23,22,,,
Gallia,12/24,19,,,
Gallia,12/25,10,,,
Gallia,12/26,20,,,
Gallia,12/27,30,,,
Gallia,12/28,25,,,
Gallia,12/29,20,,,
Gallia,12/30,27,,,
Gallia,12/31,5,,,
Gallia,1/1,11,,,
Gallia,1/2,20,,,
Gallia,1/3,15,,,
Gallia,1/4,15,,,
Gallia,1/5,6,,,
Gallia,1/6,9,,,
Gallia,1/7,11,,,
Gallia,1/8,14,,,
Gallia,1/9,8,,,
Gallia,1/10,9,,,
Gallia,1/11,6,,,
Gallia,1/12,6,,,
Gallia,1/13,15,,,
Gallia,1/14,5,,,
Gallia,1/15,6,,,
Gallia,1/16,9,,,
Gallia,1/17,2,,,
Gallia,1/18,,,,
Greene,8/1,16,,,
Greene,8/2,12,,,
Greene,8/3,13,,,
Greene,8/4,10,,,
Greene,8/5,20,,,
Greene,8/6,8,,,
Greene,8/7,18,,,
Greene,8/8,12,,,
Greene,8/9,8,,,
Greene,8/10,12,,,
Greene,8/11,13,,,
Greene,8/12,13,,,
Greene,8/13,9,,,
Greene,8/14,8,,,
Greene,8/15,6,,,
Greene,8/16,8,,,
Greene,8/17,12,,,
Greene,8/18,9,,,
Greene,8/19,14,,,
Greene,8/20,17,,,
Greene,8/21,11,,,
Greene,8/22,10,,,
Greene,8/23,10,,,
Greene,8/24,22,,,
Greene,8/25,14,,,
Greene,8/26,14,,,
Greene,8/27,9,,,
Greene,8/28,17,,,
Greene,8/29,10,,,
Greene,8/30,11,,,
Greene,8/31,30,,,
Greene,9/1,18,,,
Greene,9/2,17,,,
Greene,9/3,28,,,
Greene,9/4,16,,,
Greene,9/5,6,,,
Greene,9/6,8,,,
Greene,9/7,20,,,
Greene,9/8,30,,,
Greene,9/9,18,,,
Greene,9/10,16,,,
Greene,9/11,22,,,
Greene,9/12,13,,,
Greene,9/13,17,,,
Greene,9/14,17,,,
Greene,9/15,12,,,
Greene,9/16,17,,,
Greene,9/17,27,,,
Greene,9/18,16,,,
Greene,9/19,12,,,
Greene,9/20,12,,,
Greene,9/21,27,,,
Greene,9/22,18,,,
Greene,9/23,19,,,
Greene,9/24,39,,,
Greene,9/25,24,,,
Greene,9/26,22,,,
Greene,9/27,12,,,
Greene,9/28,22,,,
Greene,9/29,41,,,
Greene,9/30,25,,,
Greene,10/1,27,,,
Greene,10/2,30,,,
Greene,10/3,18,,,
Greene,10/4,18,,,
Greene,10/5,34,,,
Greene,10/6,39,,,
Greene,10/7,43,,,
Greene,10/8,42,,,
Greene,10/9,40,,,
Greene,10/10,26,,,
Greene,10/11,27,,,
Greene,10/12,46,,,
Greene,10/13,51,,,
Greene,10/14,47,,,
Greene,10/15,53,,,
Greene,10/16,46,,,
Greene,10/17,32,,,
Greene,10/18,33,,,
Greene,10/19,47,,,
Greene,10/20,46,,,
Greene,10/21,59,,,
Greene,10/22,54,,,
Greene,10/23,60,,,
Greene,10/24,32,,,
Greene,10/25,34,,,
Greene,10/26,63,,,
Greene,10/27,70,,,
Greene,10/28,80,,,
Greene,10/29,60,,,
Greene,10/30,92,,,
Greene,10/31,57,,,
Greene,11/1,53,,,
Greene,11/2,122,,,
Greene,11/3,93,,,
Greene,11/4,112,,,
Greene,11/5,80,,,
Greene,11/6,115,,,
Greene,11/7,57,,,
Greene,11/8,67,,,
Greene,11/9,185,,,
Greene,11/10,196,,,
Greene,11/11,140,,,
Greene,11/12,125,,,
Greene,11/13,104,,,
Greene,11/14,70,,,
Greene,11/15,77,,,
Greene,11/16,188,,,
Greene,11/17,154,,,
Greene,11/18,156,,,
Greene,11/19,142,,,
Greene,11/20,156,,,
Greene,11/21,75,,,
Greene,11/22,74,,,
Greene,11/23,186,,,
Greene,11/24,132,,,
Greene,11/25,141,,,
Greene,11/26,27,,,
Greene,11/27,90,,,
Greene,11/28,75,,,
Greene,11/29,90,,,
Greene,11/30,177,,,
Greene,12/1,163,,,
Greene,12/2,158,,,
Greene,12/3,129,,,
Greene,12/4,173,,,
Greene,12/5,92,,,
Greene,12/6,97,,,
Greene,12/7,170,,,
Greene,12/8,150,,,
Greene,12/9,136,,,
Greene,12/10,126,,,
Greene,12/11,125,,,
Greene,12/12,83,,,
Greene,12/13,63,,,
Greene,12/14,167,,,
Greene,12/15,121,,,
Greene,12/16,99,,,
Greene,12/17,97,,,
Greene,12/18,116,,,
Greene,12/19,79,,,
Greene,12/20,62,,,
Greene,12/21,145,,,
Greene,12/22,76,,,
Greene,12/23,87,,,
Greene,12/24,66,,,
Greene,12/25,14,,,
Greene,12/26,93,,,
Greene,12/27,67,,,
Greene,12/28,179,,,
Greene,12/29,146,,,
Greene,12/30,143,,,
Greene,12/31,121,,,
Greene,1/1,47,,,
Greene,1/2,99,,,
Greene,1/3,88,,,
Greene,1/4,199,,,
Greene,1/5,145,,,
Greene,1/6,122,,,
Greene,1/7,106,,,
Greene,1/8,100,,,
Greene,1/9,76,,,
Greene,1/10,78,,,
Greene,1/11,139,,,
Greene,1/12,111,,,
Greene,1/13,94,,,
Greene,1/14,82,,,
Greene,1/15,79,,,
Greene,1/16,19,,,
Greene,1/17,9,,,
Greene,1/18,,,,
Hamilton,8/1,69,,,
Hamilton,8/2,53,,,
Hamilton,8/3,85,,,
Hamilton,8/4,81,,,
Hamilton,8/5,77,,,
Hamilton,8/6,59,,,
Hamilton,8/7,83,,,
Hamilton,8/8,50,,,
Hamilton,8/9,62,,,
Hamilton,8/10,96,,,
Hamilton,8/11,75,,,
Hamilton,8/12,88,,,
Hamilton,8/13,69,,,
Hamilton,8/14,42,,,
Hamilton,8/15,32,,,
Hamilton,8/16,39,,,
Hamilton,8/17,74,,,
Hamilton,8/18,47,,,
Hamilton,8/19,44,,,
Hamilton,8/20,62,,,
Hamilton,8/21,71,,,
Hamilton,8/22,53,,,
Hamilton,8/23,55,,,
Hamilton,8/24,125,,,
Hamilton,8/25,118,,,
Hamilton,8/26,109,,,
Hamilton,8/27,111,,,
Hamilton,8/28,69,,,
Hamilton,8/29,48,,,
Hamilton,8/30,47,,,
Hamilton,8/31,100,,,
Hamilton,9/1,92,,,
Hamilton,9/2,85,,,
Hamilton,9/3,94,,,
Hamilton,9/4,87,,,
Hamilton,9/5,50,,,
Hamilton,9/6,49,,,
Hamilton,9/7,59,,,
Hamilton,9/8,96,,,
Hamilton,9/9,95,,,
Hamilton,9/10,79,,,
Hamilton,9/11,88,,,
Hamilton,9/12,63,,,
Hamilton,9/13,50,,,
Hamilton,9/14,90,,,
Hamilton,9/15,81,,,
Hamilton,9/16,73,,,
Hamilton,9/17,63,,,
Hamilton,9/18,80,,,
Hamilton,9/19,48,,,
Hamilton,9/20,52,,,
Hamilton,9/21,70,,,
Hamilton,9/22,84,,,
Hamilton,9/23,95,,,
Hamilton,9/24,75,,,
Hamilton,9/25,90,,,
Hamilton,9/26,58,,,
Hamilton,9/27,63,,,
Hamilton,9/28,115,,,
Hamilton,9/29,110,,,
Hamilton,9/30,99,,,
Hamilton,10/1,98,,,
Hamilton,10/2,118,,,
Hamilton,10/3,105,,,
Hamilton,10/4,100,,,
Hamilton,10/5,180,,,
Hamilton,10/6,182,,,
Hamilton,10/7,166,,,
Hamilton,10/8,156,,,
Hamilton,10/9,172,,,
Hamilton,10/10,112,,,
Hamilton,10/11,98,,,
Hamilton,10/12,218,,,
Hamilton,10/13,266,,,
Hamilton,10/14,201,,,
Hamilton,10/15,192,,,
Hamilton,10/16,209,,,
Hamilton,10/17,138,,,
Hamilton,10/18,149,,,
Hamilton,10/19,270,,,
Hamilton,10/20,263,,,
Hamilton,10/21,270,,,
Hamilton,10/22,259,,,
Hamilton,10/23,229,,,
Hamilton,10/24,153,,,
Hamilton,10/25,157,,,
Hamilton,10/26,301,,,
Hamilton,10/27,309,,,
Hamilton,10/28,322,,,
Hamilton,10/29,298,,,
Hamilton,10/30,314,,,
Hamilton,10/31,239,,,
Hamilton,11/1,235,,,
Hamilton,11/2,440,,,
Hamilton,11/3,438,,,
Hamilton,11/4,490,,,
Hamilton,11/5,487,,,
Hamilton,11/6,526,,,
Hamilton,11/7,315,,,
Hamilton,11/8,363,,,
Hamilton,11/9,662,,,
Hamilton,11/10,598,,,
Hamilton,11/11,644,,,
Hamilton,11/12,612,,,
Hamilton,11/13,611,,,
Hamilton,11/14,399,,,
Hamilton,11/15,361,,,
Hamilton,11/16,748,,,
Hamilton,11/17,648,,,
Hamilton,11/18,639,,,
Hamilton,11/19,676,,,
Hamilton,11/20,544,,,
Hamilton,11/21,412,,,
Hamilton,11/22,438,,,
Hamilton,11/23,797,,,
Hamilton,11/24,758,,,
Hamilton,11/25,730,,,
Hamilton,11/26,177,,,
Hamilton,11/27,666,,,
Hamilton,11/28,479,,,
Hamilton,11/29,468,,,
Hamilton,11/30,971,,,
Hamilton,12/1,819,,,
Hamilton,12/2,743,,,
Hamilton,12/3,727,,,
Hamilton,12/4,714,,,
Hamilton,12/5,470,,,
Hamilton,12/6,404,,,
Hamilton,12/7,820,,,
Hamilton,12/8,776,,,
Hamilton,12/9,617,,,
Hamilton,12/10,623,,,
Hamilton,12/11,621,,,
Hamilton,12/12,414,,,
Hamilton,12/13,351,,,
Hamilton,12/14,760,,,
Hamilton,12/15,705,,,
Hamilton,12/16,579,,,
Hamilton,12/17,550,,,
Hamilton,12/18,497,,,
Hamilton,12/19,343,,,
Hamilton,12/20,296,,,
Hamilton,12/21,670,,,
Hamilton,12/22,543,,,
Hamilton,12/23,467,,,
Hamilton,12/24,348,,,
Hamilton,12/25,138,,,
Hamilton,12/26,389,,,
Hamilton,12/27,382,,,
Hamilton,12/28,763,,,
Hamilton,12/29,589,,,
Hamilton,12/30,596,,,
Hamilton,12/31,448,,,
Hamilton,1/1,189,,,
Hamilton,1/2,439,,,
Hamilton,1/3,366,,,
Hamilton,1/4,873,,,
Hamilton,1/5,759,,,
Hamilton,1/6,567,,,
Hamilton,1/7,590,,,
Hamilton,1/8,550,,,
Hamilton,1/9,336,,,
Hamilton,1/10,275,,,
Hamilton,1/11,595,,,
Hamilton,1/12,532,,,
Hamilton,1/13,464,,,
Hamilton,1/14,477,,,
Hamilton,1/15,397,,,
Hamilton,1/16,111,,,
Hamilton,1/17,49,,,
Hamilton,1/18,5,,,
Hancock,8/1,2,,,
Hancock,8/2,8,,,
Hancock,8/3,9,,,
Hancock,8/4,14,,,
Hancock,8/5,14,,,
Hancock,8/6,2,,,
Hancock,8/7,4,,,
Hancock,8/8,8,,,
Hancock,8/9,5,,,
Hancock,8/10,10,,,
Hancock,8/11,10,,,
Hancock,8/12,8,,,
Hancock,8/13,5,,,
Hancock,8/14,6,,,
Hancock,8/15,4,,,
Hancock,8/16,5,,,
Hancock,8/17,2,,,
Hancock,8/18,7,,,
Hancock,8/19,12,,,
Hancock,8/20,8,,,
Hancock,8/21,3,,,
Hancock,8/22,4,,,
Hancock,8/23,6,,,
Hancock,8/24,11,,,
Hancock,8/25,5,,,
Hancock,8/26,1,,,
Hancock,8/27,7,,,
Hancock,8/28,9,,,
Hancock,8/29,4,,,
Hancock,8/30,7,,,
Hancock,8/31,10,,,
Hancock,9/1,9,,,
Hancock,9/2,8,,,
Hancock,9/3,7,,,
Hancock,9/4,7,,,
Hancock,9/5,6,,,
Hancock,9/6,4,,,
Hancock,9/7,7,,,
Hancock,9/8,7,,,
Hancock,9/9,8,,,
Hancock,9/10,5,,,
Hancock,9/11,9,,,
Hancock,9/12,3,,,
Hancock,9/13,3,,,
Hancock,9/14,10,,,
Hancock,9/15,7,,,
